theDate|stock_code|comp_code|net_Turnover_Net_Sales|EBITDA|EBIT|Net_Profit|Intangibles|Fixed_Assets|Long_Term_Investment|Stocks_Inventories|Cash|Current_Liabilities|Long_Term_Debt|Provisions|Minorities|Total_Shareholders_Equity|Operating_Margin|Return_on_Equity_Capital|Net_Profit_Margin|Current_Ratio|Debt_to_Capital_at_Book|crawl_Timestamp
31 Dec 2017| : 5053|OSK|-|568,276|542,135|400,219|-|752,444|-|-|0|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:49
31 Dec 2011| : 5053WC|OSK-WC|103,746|111,533|93,180|51,415|144,692|199,754|31,795|0|1,831,608|316,885|0|0|301,188|2,595,608|351.5|15.07|319.31|1.48|0.1|2019-03-15 00:51:49
31 Dec 2015| : 0053|OSKVI|66,246|-7,303|-7,303|-2,276|11|335|2,529|0|101,019|1,176|0|0|0|178,681|-5.33|-1.27|-3.44|149.22|0|2019-03-15 00:51:49
31 Dec 2016| : 0053|OSKVI|6,245|2,487|2,487|8,366|8|253|93,107|0|91,450|1,201|0|0|0|186,920|136.49|4.58|133.96|80.06|0|2019-03-15 00:51:50
31 Dec 2017| : 0053|OSKVI|32,864|28,499|28,499|31,214|9|48|175,948|0|27,202|1,409|0|0|0|213,604|99.47|15.59|94.98|29.35|0|2019-03-15 00:51:50
31 Mar 2016| : 0153|OVERSEA|61,056|176|-2,481|-3,085|87|48,040|392|4,172|16,270|5,598|1,136|0|0|62,947|-3.43|-5.52|-5.05|4.35|0.02|2019-03-15 00:51:50
31 Mar 2017| : 0153|OVERSEA|60,044|3,400|631|459|107|46,627|877|5,561|3,318|5,411|1,336|0|0|63,327|1.88|0.73|0.76|4.72|0.02|2019-03-15 00:51:50
31 Mar 2018| : 0153|OVERSEA|58,517|-|-|-4,790|91|47,465|1,741|5,516|11,236|5,689|1,280|0|0|59,186|-5.98|-|-8.19|3.57|-|2019-03-15 00:51:50
30 Jun 2016| : 5260|OWG|97,967|25,320|18,674|12,572|4,905|199,257|426|2,917|33,177|30,785|44,506|489|0|179,958|19.52|7.72|12.83|1.84|0.22|2019-03-15 00:51:50
30 Jun 2017| : 5260|OWG|116,204|26,897|10,853|5,423|2,483|175,044|116,462|3,499|22,095|64,667|62,290|0|0|213,381|9.78|2.76|4.67|0.82|0.27|2019-03-15 00:51:50
30 Jun 2018| : 5260|OWG|127,668|-|-|6,965|2,231|225,988|113,613|2,559|33,975|61,166|87,807|0|0|247,767|13.33|-|5.46|0.98|-|2019-03-15 00:51:50
30 Jun 2012| : 5260WA|OWG-WA|79,075|21,966|21,966|15,706|0|0|0|0|0|0|0|0|0|0|27.78|57.17|19.86|3.54|0.23|2019-03-15 00:51:50
30 Jun 2013| : 5260WA|OWG-WA|88,873|32,395|27,319|20,091|0|63,541|52|1,532|32,602|13,052|24,124|700|0|70,286|31.52|18.73|22.61|4.58|0.22|2019-03-15 00:51:50
30 Sep 2015| : 6009|P%26O|-|-|32,184|42,570|-|22,917|-|-|638,874|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:50
30 Sep 2016| : 6009|P%26O|-|-|-|-5,539|-|-|-|-|589,257|-|-|-|-|-|-|-|-|-|-|2019-03-15 00:51:50
30 Jun 2016| : 7225|PA|143,839|2,119|-7,921|-9,043|0|78,200|0|10,857|1,981|66,077|1,051|0|0|84,181|-3.74|-10.6|-6.29|0.99|0.34|2019-03-15 00:51:50
30 Jun 2017| : 7225|PA|97,322|-4,490|-12,344|-12,229|0|73,009|0|9,868|1,517|59,838|1,083|0|0|70,640|-11.2|-15.8|-12.57|0.86|0.32|2019-03-15 00:51:50
30 Jun 2018| : 7225|PA|112,544|-|-|-18,909|0|71,240|0|15,104|1,623|34,959|5,398|0|0|88,492|-14.29|-|-16.8|1.42|-|2019-03-15 00:51:50
31 Mar 2012| : 7225WB|PA-WB|102,872|-2,531|-6,689|-11,940|120|75,370|0|21,865|11,899|81,075|16,896|0|235|40,051|-6.56|-25.94|-11.61|0.78|0.61|2019-03-15 00:51:50
31 Mar 2013| : 7225WB|PA-WB|84,192|-3,206|-8,801|-11,992|0|81,146|0|31,059|4,618|43,091|5,019|0|0|93,454|-10.2|-17.96|-14.24|1.41|0.27|2019-03-15 00:51:50
31 Mar 2014| : 7225WB|PA-WB|131,578|8,760|1,973|-1,094|0|80,111|0|23,689|6,137|67,204|3,820|0|0|101,665|1.82|-1.12|-0.83|1.38|0.28|2019-03-15 00:51:50
30 Jun 2016| : 7052|PADINI|1,301,193|218,311|183,353|137,385|7,326|122,838|705|263,266|237,069|311,987|9,644|7,778|0|468,956|14.63|31.42|10.56|2.12|0.09|2019-03-15 00:51:50
30 Jun 2017| : 7052|PADINI|1,570,722|245,337|206,663|157,388|6,695|136,675|705|193,212|416,891|310,732|6,024|10,614|0|552,102|13.87|30.83|10.02|2.33|0.09|2019-03-15 00:51:50
30 Jun 2018| : 7052|PADINI|1,678,790|-|-|178,174|6,280|143,685|705|257,022|451,389|261,430|3,374|4,693|0|653,200|14.44|-|10.61|2.93|-|2019-03-15 00:51:50
30 Jun 2011| : 7052CU|PADINI-CU|568,476|127,485|105,405|75,694|6,523|83,621|684|170,955|138,622|137,947|21,507|0|0|282,677|18.76|29.28|13.32|2.54|0.1|2019-03-15 00:51:51
30 Jun 2012| : 7052CU|PADINI-CU|726,112|149,995|129,698|95,305|7,179|93,190|684|192,285|137,612|120,541|19,209|3,709|0|339,413|18.22|30.64|13.13|3.15|0.1|2019-03-15 00:51:51
30 Jun 2013| : 7052CU|PADINI-CU|789,765|139,510|117,342|85,393|6,673|88,281|735|143,838|206,226|116,618|16,791|3,904|0|372,226|15.15|24|10.81|3.54|0.07|2019-03-15 00:51:51
30 Jun 2011| : 7052CV|PADINI-CV|568,476|127,485|105,405|75,694|6,523|83,621|684|170,955|138,622|137,947|21,507|0|0|282,677|18.76|29.28|13.32|2.54|0.1|2019-03-15 00:51:51
30 Jun 2012| : 7052CV|PADINI-CV|726,112|149,995|129,698|95,305|7,179|93,190|684|192,285|137,612|120,541|19,209|3,709|0|339,413|18.22|30.64|13.13|3.15|0.1|2019-03-15 00:51:51
30 Jun 2013| : 7052CV|PADINI-CV|789,765|139,510|117,342|85,393|6,673|88,281|735|143,838|206,226|116,618|16,791|3,904|0|372,226|15.15|24|10.81|3.54|0.07|2019-03-15 00:51:51
30 Jun 2011| : 7052CW|PADINI-CW|568,476|127,485|105,405|75,694|6,523|83,621|684|170,955|138,622|137,947|21,507|0|0|282,677|18.76|29.28|13.32|2.54|0.1|2019-03-15 00:51:51
30 Jun 2012| : 7052CW|PADINI-CW|726,112|149,995|129,698|95,305|7,179|93,190|684|192,285|137,612|120,541|19,209|3,709|0|339,413|18.22|30.64|13.13|3.15|0.1|2019-03-15 00:51:51
