compCode,Category,Sub_category,crawl_Timestamp
YONGTAI,main,property,2019-02-26 10:54:04
YONGTAI-PA,main,property,2019-02-26 10:54:04
YONGTAI-WA,main,property,2019-02-26 10:54:04
YTLLAND,main,property,2019-02-26 10:54:04
EDEN,main,utilities,2019-02-26 10:54:10
EDEN-WB,main,utilities,2019-02-26 10:54:10
GASMSIA,main,utilities,2019-02-26 10:54:10
KPS,main,utilities,2019-02-26 10:54:10
MALAKOF,main,utilities,2019-02-26 10:54:10
MFCB,main,utilities,2019-02-26 10:54:10
MFCB-WA,main,utilities,2019-02-26 10:54:10
PBA,main,utilities,2019-02-26 10:54:10
PETGAS,main,utilities,2019-02-26 10:54:10
RANHILL,main,utilities,2019-02-26 10:54:10
SALCON,main,utilities,2019-02-26 10:54:11
SALCON-WB,main,utilities,2019-02-26 10:54:11
TALIWRK,main,utilities,2019-02-26 10:54:11
TENAGA,main,utilities,2019-02-26 10:54:11
YTL,main,utilities,2019-02-26 10:54:11
YTLPOWR,main,utilities,2019-02-26 10:54:11
ABMB,main,finance,2019-02-26 10:54:13
AEONCR,main,finance,2019-02-26 10:54:14
AFFIN,main,finance,2019-02-26 10:54:14
ALLIANZ,main,finance,2019-02-26 10:54:14
ALLIANZ-PA,main,finance,2019-02-26 10:54:14
AMBANK,main,finance,2019-02-26 10:54:14
APEX,main,finance,2019-02-26 10:54:14
BIMB,main,finance,2019-02-26 10:54:14
BIMB-WA,main,finance,2019-02-26 10:54:14
BURSA,main,finance,2019-02-26 10:54:14
CIMB,main,finance,2019-02-26 10:54:15
ECM,main,finance,2019-02-26 10:54:15
ELKDESA,main,finance,2019-02-26 10:54:15
HLBANK,main,finance,2019-02-26 10:54:15
HLCAP,main,finance,2019-02-26 10:54:15
HLFG,main,finance,2019-02-26 10:54:15
INSAS,main,finance,2019-02-26 10:54:15
INSAS-PA,main,finance,2019-02-26 10:54:15
INSAS-WB,main,finance,2019-02-26 10:54:15
JOHAN,main,finance,2019-02-26 10:54:15
KENANGA,main,finance,2019-02-26 10:54:15
